Unnamed: 0,Match_id,Team1,Team2,Gender,Series/Competition,Toss_decision,Winner_runs,Winner_wickets,Players_1,Bat_Runs_1,Ball Faced_1,Over_1,Runs_1,Wicket_1,Players_2,Bat_Runs_2,Ball Faced_2,Over_2,Runs_2,Wicket_2,Players_3,Bat_Runs_3,Ball Faced_3,Over_3,Runs_3,Wicket_3,Players_4,Bat_Runs_4,Ball Faced_4,Over_4,Runs_4,Wicket_4,Players_5,Bat_Runs_5,Ball Faced_5,Over_5,Runs_5,Wicket_5,Players_6,Bat_Runs_6,Ball Faced_6,Over_6,Runs_6,Wicket_6,Players_7,Bat_Runs_7,Ball Faced_7,Over_7,Runs_7,Wicket_7,Players_8,Bat_Runs_8,Ball Faced_8,Over_8,Runs_8,Wicket_8,Players_9,Bat_Runs_9,Ball Faced_9,Over_9,Runs_9,Wicket_9,Players_10,Bat_Runs_10,Ball Faced_10,Over_10,Runs_10,Wicket_10,Players_11,Bat_Runs_11,Ball Faced_11,Over_11,Runs_11,Wicket_11,Players_12,Bat_Runs_12,Ball Faced_12,Over_12,Runs_12,Wicket_12,Players_13,Bat_Runs_13,Ball Faced_13,Over_13,Runs_13,Wicket_13,Players_14,Bat_Runs_14,Ball Faced_14,Over_14,Runs_14,Wicket_14,Players_15,Bat_Runs_15,Ball Faced_15,Over_15,Runs_15,Wicket_15,Players_16,Bat_Runs_16,Ball Faced_16,Over_16,Runs_16,Wicket_16,Players_17,Bat_Runs_17,Ball Faced_17,Over_17,Runs_17,Wicket_17,Players_18,Bat_Runs_18,Ball Faced_18,Over_18,Runs_18,Wicket_18,Players_19,Bat_Runs_19,Ball Faced_19,Over_19,Runs_19,Wicket_19,Players_20,Bat_Runs_20,Ball Faced_20,Over_20,Runs_20,Wicket_20,Players_21,Bat_Runs_21,Ball Faced_21,Over_21,Runs_21,Wicket_21,Players_22,Bat_Runs_22,Ball Faced_22,Over_22,Runs_22,Wicket_22
1448,656449,Australia,Afghanistan,male,ICC Cricket World Cup,field,275.0,,DA Warner,178.0,129.0,-,-,-,AJ Finch,4.0,9.0,-,-,-,SPD Smith,95.0,94.0,-,-,-,GJ Maxwell,88,38,4,21,1,JP Faulkner,7,5,4,6,0,MR Marsh,8,9,3,24,0,BJ Haddin,20,9,-,-,-,MA Starc,-,-,6,18,2,JR Hazlewood,-,-,8,22,2,MG Johnson,-,-,7.3,17,4,MJ Clarke,-,-,5,14,1,Javed Ahmadi,13,24,4,18,0,Usman Ghani,12,18,-,-,-,Nawroz Mangal,33,35,1,14,1,Asghar Stanikzai,4,9,-,-,-,Samiullah Shenwari,17,30,5,34,0,Mohammad Nabi,2,10,10,83,0,Najibullah Zadran,24,31,-,-,-,Afsar Zazai,10,39,-,-,-,Dawlat Zadran,0,4,10,96,2,Hamid Hassan,7,18,10,69,1,Shapoor Zadran,0,4,10,86,2
1449,656453,India,West Indies,male,ICC Cricket World Cup,bat,,4.0,DR Smith,6.0,19.0,5,19,1,CH Gayle,21.0,27.0,-,-,-,MN Samuels,2.0,7.0,3.1,10,0,D Ramdin,0,1,-,-,-,LMP Simmons,9,21,-,-,-,JL Carter,21,43,-,-,-,DJG Sammy,26,54,-,-,-,AD Russell,8,8,8,33,2,JO Holder,57,64,7,28,0,JE Taylor,11,18,8,32,2,KAJ Roach,-,-,8,37,1,RG Sharma,7,18,-,-,-,S Dhawan,9,14,-,-,-,V Kohli,33,35,-,-,-,AM Rahane,14,32,-,-,-,SK Raina,22,23,-,-,-,MS Dhoni,45,54,-,-,-,RA Jadeja,13,23,8.2,26,2,R Ashwin,16,32,9,37,1,Mohammed Shami,-,-,8,30,3,UT Yadav,-,-,10,37,3,MM Sharma,-,-,9,31,1
1450,656455,Pakistan,South Africa,male,ICC Cricket World Cup,field,29.0,,Sarfraz Ahmed,49.0,48.0,-,-,-,Ahmed Shehzad,18.0,30.0,-,-,-,Younis Khan,37.0,42.0,-,-,-,Misbah-ul-Haq,56,84,-,-,-,Sohaib Maqsood,8,16,-,-,-,Umar Akmal,13,20,-,-,-,Shahid Afridi,22,15,5,28,0,Wahab Riaz,0,1,7.3,43,3,Sohail Khan,3,11,5,32,1,Rahat Ali,1,6,8,39,3,Mohammad Irfan,1,3,8,52,3,Q de Kock,0,2,-,-,-,F du Plessis,27,29,-,-,-,HM Amla,38,27,-,-,-,RR Rossouw,6,9,-,-,-,AB de Villiers,77,57,6,42,1,DA Miller,0,13,-,-,-,JP Duminy,12,13,3,31,0,DW Steyn,16,17,10,29,3,KJ Abbott,12,19,9,44,2,M Morkel,6,8,9.4,24,2,Imran Tahir,0,6,9,38,2
1451,656457,Ireland,Zimbabwe,male,ICC Cricket World Cup,field,5.0,,WTS Porterfield,29.0,61.0,-,-,-,PR Stirling,10.0,11.0,2,25,0,EC Joyce,112.0,102.0,-,-,-,A Balbirnie,97,75,-,-,-,KJ O'Brien,24,21,10,90,2,GC Wilson,25,13,-,-,-,JF Mooney,10,3,10,57,2,NJ O'Brien,2,4,-,-,-,GH Dockrell,5,3,10,56,1,AR Cusack,2,3,9.3,31,4,AR McBrine,-,-,8,56,1,CJ Chibhabha,18,32,-,-,-,Sikandar Raza,12,19,9,51,0,SF Mire,11,21,-,-,-,H Masakadza,5,7,3,18,0,BRM Taylor,121,88,-,-,-,SC Williams,96,81,9,69,3,CR Ervine,11,15,-,-,-,RW Chakabva,17,15,-,-,-,T Panyangara,5,5,9,67,1,T Mupariwa,18,7,10,55,1,TL Chatara,1,1,10,56,3
1452,656459,New Zealand,Afghanistan,male,ICC Cricket World Cup,bat,,6.0,Javed Ahmadi,1.0,6.0,-,-,-,Usman Ghani,0.0,3.0,-,-,-,Nawroz Mangal,27.0,46.0,-,-,-,Asghar Stanikzai,9,18,-,-,-,Samiullah Shenwari,54,110,3,15,0,Mohammad Nabi,6,15,7.1,38,1,Afsar Zazai,0,1,-,-,-,Najibullah Zadran,56,56,-,-,-,Dawlat Zadran,1,5,9,48,1,Hamid Hassan,16,21,7,36,0,Shapoor Zadran,2,3,10,45,2,MJ Guptill,57,75,-,-,-,BB McCullum,42,19,-,-,-,KS Williamson,33,45,-,-,-,LRPL Taylor,24,40,-,-,-,GD Elliott,19,28,1,10,0,CJ Anderson,7,8,6.4,35,2,TG Southee,-,-,10,43,0,TA Boult,-,-,10,32,3,DL Vettori,-,-,10,18,4,AF Milne,-,-,10,34,1,-,-,-,-,-,-
1453,656461,Australia,Sri Lanka,male,ICC Cricket World Cup,bat,64.0,,AJ Finch,24.0,24.0,-,-,-,DA Warner,9.0,12.0,-,-,-,SPD Smith,72.0,88.0,-,-,-,MJ Clarke,68,68,-,-,-,GJ Maxwell,102,52,6,35,0,SR Watson,67,41,7,71,2,JP Faulkner,0,1,9,47,3,BJ Haddin,25,9,-,-,-,MG Johnson,3,3,9,60,2,XJ Doherty,-,-,7,60,0,MA Starc,0,0,8.2,28,3,HDRL Thirimanne,1,5,-,-,-,TM Dilshan,62,59,5,33,1,KC Sangakkara,104,105,-,-,-,DPMD Jayawardene,19,22,-,-,-,AD Mathews,35,31,7,57,2,LD Chandimal,52,24,-,-,-,WU Tharanga,4,5,-,-,-,NLTC Perera,8,3,9,86,3,S Prasanna,9,11,10,77,1,SMSM Senanayake,7,8,9,59,0,SL Malinga,0,2,10,58,2
1454,656463,Bangladesh,England,male,ICC Cricket World Cup,field,15.0,,Tamim Iqbal,2.0,7.0,-,-,-,Imrul Kayes,2.0,2.0,-,-,-,Soumya Sarkar,40.0,52.0,-,-,-,Mahmudullah,103,136,-,-,-,Shakib Al Hasan,2,6,10,41,0,Mushfiqur Rahim,89,75,-,-,-,Sabbir Rahman,14,12,2,13,0,Mashrafe Mortaza,6,3,10,48,2,Arafat Sunny,3,2,8,42,1,Rubel Hossain,-,-,9.3,53,4,Taskin Ahmed,-,-,9,58,3,MM Ali,19,21,9,43,1,IR Bell,63,81,-,-,-,AD Hales,27,34,-,-,-,JE Root,29,47,1,6,0,EJG Morgan,0,3,-,-,-,JWA Taylor,1,4,-,-,-,JC Buttler,65,52,-,-,-,CR Woakes,42,40,10,61,0,CJ Jordan,0,1,10,54,2,SCJ Broad,9,4,10,52,1,JM Anderson,0,2,10,45,3
1455,656465,India,Ireland,male,ICC Cricket World Cup,bat,,8.0,WTS Porterfield,67.0,92.0,-,-,-,PR Stirling,42.0,41.0,5,36,0,EC Joyce,2.0,9.0,-,-,-,NJ O'Brien,75,74,-,-,-,A Balbirnie,24,24,-,-,-,KJ O'Brien,1,2,6.5,42,0,GC Wilson,6,7,-,-,-,SR Thompson,2,2,6,37,2,JF Mooney,12,16,6,40,0,GH Dockrell,6,12,5,44,0,AR Cusack,11,13,8,42,0,RG Sharma,64,65,3,21,0,S Dhawan,100,83,-,-,-,V Kohli,44,42,-,-,-,AM Rahane,33,28,-,-,-,UT Yadav,-,-,4,33,1,Mohammed Shami,-,-,9,36,4,MM Sharma,-,-,6,35,1,RA Jadeja,-,-,7,45,1,R Ashwin,-,-,10,38,2,SK Raina,-,-,10,40,1,-,-,-,-,-,-
1457,656473,Afghanistan,England,male,ICC Cricket World Cup,field,,9.0,Javed Ahmadi,7.0,14.0,-,-,-,Nawroz Mangal,4.0,27.0,-,-,-,Afsar Zazai,6.0,14.0,-,-,-,Nasir Jamal,17,52,-,-,-,Samiullah Shenwari,7,11,2,19,0,Shafiqullah,30,63,-,-,-,Mohammad Nabi,16,17,4.1,14,0,Najibullah Zadran,12,15,-,-,-,Hamid Hassan,0,2,5,16,1,Shapoor Zadran,-,-,4,25,0,Dawlat Zadran,-,-,3,23,0,AD Hales,37,33,-,-,-,IR Bell,52,54,-,-,-,JWA Taylor,8,20,-,-,-,JM Anderson,-,-,7,16,1,SCJ Broad,-,-,8,16,1,CJ Jordan,-,-,6.2,12,2,RS Bopara,-,-,8,30,2,JC Tredwell,-,-,7,25,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1458,656475,India,Zimbabwe,male,ICC Cricket World Cup,field,,6.0,CJ Chibhabha,7.0,16.0,-,-,-,H Masakadza,2.0,7.0,2,14,0,SF Mire,9.0,22.0,5,29,0,BRM Taylor,138,110,-,-,-,SC Williams,50,57,5,31,0,CR Ervine,27,41,-,-,-,Sikandar Raza,28,15,8,36,1,RW Chakabva,10,12,-,-,-,T Panyangara,6,6,8.4,51,2,T Mupariwa,1,2,10,59,1,TL Chatara,0,3,10,52,0,RG Sharma,16,21,-,-,-,S Dhawan,4,20,-,-,-,AM Rahane,19,24,-,-,-,V Kohli,38,48,-,-,-,SK Raina,110,102,-,-,-,MS Dhoni,85,74,-,-,-,Mohammed Shami,-,-,9,45,3,UT Yadav,-,-,9.5,41,3,MM Sharma,-,-,10,47,3,R Ashwin,-,-,10,74,1,RA Jadeja,-,-,10,71,0
