,Match_id,Unnamed: 0,Team1,Team2,Gender,Series/Competition,Toss_decision,Winner_runs,Winner_wickets,Bat_Runs_1,Ball Faced_1,Over_1,Runs_1,Wicket_1,Bat_Runs_2,Ball Faced_2,Over_2,Runs_2,Wicket_2,Bat_Runs_3,Ball Faced_3,Over_3,Runs_3,Wicket_3,Bat_Runs_4,Ball Faced_4,Over_4,Runs_4,Wicket_4,Bat_Runs_5,Ball Faced_5,Over_5,Runs_5,Wicket_5,Bat_Runs_6,Ball Faced_6,Over_6,Runs_6,Wicket_6,Bat_Runs_7,Ball Faced_7,Over_7,Runs_7,Wicket_7,Bat_Runs_8,Ball Faced_8,Over_8,Runs_8,Wicket_8,Bat_Runs_9,Ball Faced_9,Over_9,Runs_9,Wicket_9,Bat_Runs_10,Ball Faced_10,Over_10,Runs_10,Wicket_10,Bat_Runs_11,Ball Faced_11,Over_11,Runs_11,Wicket_11,Bat_Runs_12,Ball Faced_12,Over_12,Runs_12,Wicket_12,Bat_Runs_13,Ball Faced_13,Over_13,Runs_13,Wicket_13,Bat_Runs_14,Ball Faced_14,Over_14,Runs_14,Wicket_14,Bat_Runs_15,Ball Faced_15,Over_15,Runs_15,Wicket_15,Bat_Runs_16,Ball Faced_16,Over_16,Runs_16,Wicket_16,Bat_Runs_17,Ball Faced_17,Over_17,Runs_17,Wicket_17,Bat_Runs_18,Ball Faced_18,Over_18,Runs_18,Wicket_18,Bat_Runs_19,Ball Faced_19,Over_19,Runs_19,Wicket_19,Bat_Runs_20,Ball Faced_20,Over_20,Runs_20,Wicket_20,Bat_Runs_21,Ball Faced_21,Over_21,Runs_21,Wicket_21,Bat_Runs_22,Ball Faced_22,Over_22,Runs_22,Wicket_22,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,Players_12,Players_13,Players_14,Players_15,Players_16,Players_17,Players_18,Players_19,Players_20,Players_21,Players_22
547,423792,896,New Zealand,Australia,male,Chappell-Hadlee Trophy,bat,12,,47,48,5,32,2,53,62,-,-,-,1,4,-,-,-,11,26,-,-,-,54,60,-,-,-,56,63,-,-,-,29,24,6,29,0,16,13,9,43,4,-,-,8,63,0,-,-,8.2,31,3,-,-,7,41,1,24,16,-,-,-,14,23,-,-,-,18,34,-,-,-,0,1,-,-,-,2,4,5,35,1,46,58,7,31,0,35,39,-,-,-,70,47,10,43,2,20,16,9,63,2,6,12,10,40,2,4,8,10,55,0,SR Watson,BJ Haddin,RT Ponting,MJ Clarke,CL White,MEK Hussey,JR Hopes,MG Johnson,DE Bollinger,RJ Harris,NM Hauritz,BB McCullum,PJ Ingram,MJ Guptill,NT Broom,JEC Franklin,SB Styris,GJ Hopkins,DL Vettori,DR Tuffey,SE Bond,TG Southee
548,423793,897,New Zealand,Australia,male,Chappell-Hadlee Trophy,field,,6,23,24,-,-,-,5,3,-,-,-,21,27,2,12,0,62,66,-,-,-,24,39,-,-,-,41,51,7.2,41,0,45,50,-,-,-,0,2,10,36,1,11,11,8,43,0,1,2,10,42,2,2,1,10,67,1,15,22,6,25,2,110,119,-,-,-,69,71,-,-,-,9,14,-,-,-,25,36,-,-,-,13,20,-,-,-,-,-,7,46,3,-,-,8,39,1,-,-,9.2,38,4,-,-,8,39,0,-,-,8,48,0,BB McCullum,PJ Ingram,MJ Guptill,LRPL Taylor,NT Broom,SB Styris,GJ Hopkins,DL Vettori,SE Bond,TG Southee,MJ Mason,SR Watson,BJ Haddin,RT Ponting,MEK Hussey,CL White,AC Voges,RJ Harris,DE Bollinger,MG Johnson,NM Hauritz,JR Hopes
549,423794,898,New Zealand,Australia,male,Chappell-Hadlee Trophy,field,,6,61,71,-,-,-,30,22,-,-,-,15,35,-,-,-,4,8,-,-,-,8,19,5,20,0,12,16,7,29,2,20,32,-,-,-,10,26,3,26,1,34,17,5,37,0,19,9,6,27,1,1,2,5.1,55,0,32,40,6,34,2,0,1,-,-,-,50,35,-,-,-,50,56,-,-,-,34,36,-,-,-,28,16,-,-,-,-,-,7,36,1,-,-,5,32,0,-,-,8.1,32,2,-,-,10,34,2,-,-,8,46,3,BB McCullum,MJ Guptill,LRPL Taylor,SL Stewart,SB Styris,DL Vettori,GJ Hopkins,JEC Franklin,DR Tuffey,SE Bond,TG Southee,SR Watson,BJ Haddin,RT Ponting,CL White,AC Voges,MEK Hussey,RJ Harris,DE Bollinger,MG Johnson,JR Hopes,NM Hauritz
550,423795,899,New Zealand,Australia,male,Chappell-Hadlee Trophy,field,51,,1,13,-,-,-,7,12,-,-,-,30,55,-,-,-,6,7,-,-,-,55,64,2,16,0,28,39,10,37,1,26,28,-,-,-,17,25,8,30,1,36,40,8,41,0,6,14,9.1,26,4,-,-,9,35,4,53,79,8,31,1,17,21,-,-,-,0,1,-,-,-,6,21,-,-,-,5,17,-,-,-,46,54,-,-,-,40,56,6,27,1,6,8,10,32,2,9,11,7,42,1,2,6,10,52,3,1,2,9,28,1,BB McCullum,MJ Guptill,LRPL Taylor,SL Stewart,SB Styris,DL Vettori,GJ Hopkins,NL McCullum,DR Tuffey,SE Bond,TG Southee,SR Watson,BJ Haddin,RT Ponting,CL White,AC Voges,MEK Hussey,JR Hopes,MG Johnson,NM Hauritz,CJ McKay,DE Bollinger
551,426387,901,England,Australia,male,NatWest Series,bat,,4,32,26,8,55,2,26,43,-,-,-,21,23,-,-,-,87,95,-,-,-,10,19,-,-,-,28,38,-,-,-,34,38,5,30,0,22,16,8,43,0,-,-,9,41,3,-,-,9,46,0,-,-,7,40,1,10,11,-,-,-,38,44,-,-,-,29,33,-,-,-,11,23,-,-,-,103,81,-,-,-,36,47,7,33,2,27,29,8,48,0,1,1,10,40,1,-,-,9,43,2,-,-,8,52,2,-,-,8,44,0,SR Watson,TD Paine,RT Ponting,MJ Clarke,CL White,MEK Hussey,JR Hopes,NM Hauritz,RJ Harris,DE Bollinger,JR Hazlewood,AJ Strauss,C Kieswetter,KP Pietersen,PD Collingwood,EJG Morgan,LJ Wright,TT Bresnan,MH Yardy,JM Anderson,SCJ Broad,GP Swann
552,426389,902,England,Australia,male,NatWest Series,field,,1,61,76,-,-,-,44,48,-,-,-,3,16,-,-,-,33,54,4,25,0,12,23,-,-,-,21,21,-,-,-,20,21,9,34,2,7,11,6.1,44,0,1,2,10,59,1,3,3,10,19,3,1,1,10,21,3,87,119,-,-,-,0,1,-,-,-,25,36,-,-,-,40,61,5,21,1,27,35,-,-,-,8,10,10,44,1,0,3,1,14,0,14,15,6,41,0,1,6,10,36,4,0,5,6,28,1,-,-,8,22,3,SR Watson,TD Paine,RT Ponting,MJ Clarke,CL White,MEK Hussey,SPD Smith,JR Hopes,RJ Harris,DE Bollinger,SW Tait,AJ Strauss,C Kieswetter,KP Pietersen,PD Collingwood,EJG Morgan,MH Yardy,LJ Wright,TT Bresnan,GP Swann,SCJ Broad,JM Anderson
553,426390,903,England,Australia,male,NatWest Series,field,78,,41,54,-,-,-,8,21,-,-,-,92,92,-,-,-,99,106,-,-,-,17,16,-,-,-,1,1,-,-,-,18,6,9,58,2,-,-,7,21,1,-,-,8,38,2,-,-,8.4,32,5,-,-,10,56,0,37,44,-,-,-,12,23,-,-,-,8,6,-,-,-,15,19,3,26,0,47,55,-,-,-,57,62,9,47,0,2,9,3,14,0,22,26,9,51,1,1,2,6,31,1,4,4,10,45,1,0,2,10,62,2,SR Watson,TD Paine,RT Ponting,MJ Clarke,CL White,MEK Hussey,SPD Smith,SW Tait,DE Bollinger,RJ Harris,JR Hopes,AJ Strauss,C Kieswetter,KP Pietersen,PD Collingwood,EJG Morgan,MH Yardy,LJ Wright,TT Bresnan,GP Swann,SCJ Broad,JM Anderson
554,426391,904,England,Australia,male,NatWest Series,bat,42,,14,26,-,-,-,54,90,-,-,-,15,27,-,-,-,20,31,-,-,-,59,48,-,-,-,79,60,2,21,0,15,13,10,48,2,12,3,10,41,1,-,-,8,38,1,-,-,8.3,45,5,-,-,8,24,1,6,10,-,-,-,11,23,-,-,-,0,1,5,19,0,95,121,1,4,0,9,16,-,-,-,0,4,-,-,-,21,37,6,32,0,34,30,10,45,0,33,21,8,32,3,3,8,10,62,4,5,4,10,74,0,SR Watson,TD Paine,RT Ponting,CL White,SE Marsh,MEK Hussey,SPD Smith,JR Hopes,RJ Harris,SW Tait,DE Bollinger,AJ Strauss,C Kieswetter,MH Yardy,PD Collingwood,EJG Morgan,KP Pietersen,LJ Wright,TT Bresnan,GP Swann,SCJ Broad,JM Anderson
555,426403,905,England,Bangladesh,male,NatWest Series,bat,,6,28,22,-,-,-,14,32,-,-,-,51,70,-,-,-,76,90,-,-,-,20,36,10,35,2,22,18,-,-,-,4,7,8,40,0,8,9,6.1,26,0,5,5,6,30,0,3,4,10,56,2,-,-,5,45,0,50,37,-,-,-,32,39,-,-,-,84,98,-,-,-,33,48,9,32,0,23,26,-,-,-,10,18,5,15,1,-,-,10,71,3,-,-,10,35,2,-,-,10,40,3,-,-,3,18,0,-,-,3,20,0,Tamim Iqbal,Imrul Kayes,Junaid Siddique,Raqibul Hasan,Shakib Al Hasan,Mushfiqur Rahim,Mahmudullah,Faisal Hossain,Mashrafe Mortaza,Abdur Razzak,Shafiul Islam,AJ Strauss,C Kieswetter,IR Bell,PD Collingwood,EJG Morgan,MH Yardy,JM Anderson,TT Bresnan,SCJ Broad,JC Tredwell,LJ Wright
556,426404,906,England,Bangladesh,male,NatWest Series,field,5,,18,23,-,-,-,76,110,-,-,-,21,22,-,-,-,40,52,-,-,-,1,3,10,37,2,14,29,1,9,0,24,34,-,-,-,22,22,10,42,2,1,2,10,41,2,-,-,9.3,36,2,-,-,9,46,2,33,36,-,-,-,20,16,-,-,-,94,128,-,-,-,10,24,5,16,1,1,3,-,-,-,10,24,10,34,1,15,22,6,28,0,5,9,10,39,3,21,24,10,55,1,2,7,9,45,1,-,-,-,-,-,Tamim Iqbal,Imrul Kayes,Junaid Siddique,Jahurul Islam,Shakib Al Hasan,Mohammad Ashraful,Mahmudullah,Mashrafe Mortaza,Abdur Razzak,Shafiul Islam,Rubel Hossain,AJ Strauss,C Kieswetter,IJL Trott,PD Collingwood,EJG Morgan,MH Yardy,LJ Wright,A Shahzad,SCJ Broad,JM Anderson,IR Bell
